JOB_ID,TITLE,COMPANY,COUNTRY,SOURCE,URL,SALARY_MIN,SALARY_MAX,POSTED_DATE,COLLECTED_DATE
adzuna_5808180305,Data Analyst Trainee,ITOL Recruit,gb,adzuna,https://www.adzuna.co.uk/jobs/land/ad/5808180305?se=PLl8cYeS8RGht6FEOOV3rg&utm_medium=api&utm_source=8413080e&v=BA267000CCB3FBB8DFFDDC78277432AD32EB773E,30000.0,50000.0,2026-07-20,2026-08-07
adzuna_5829131501,Data Analyst,MCS Group,gb,adzuna,https://www.adzuna.co.uk/jobs/land/ad/5829131501?se=PLl8cYeS8RGht6FEOOV3rg&utm_medium=api&utm_source=8413080e&v=277D5901F1A15D41248C6A6D3695D38A76605A46,30000.0,30000.0,2026-08-05,2026-08-07
adzuna_5822628736,Data Analyst,HAYS Specialist Recruitment,gb,adzuna,https://www.adzuna.co.uk/jobs/land/ad/5822628736?se=PLl8cYeS8RGht6FEOOV3rg&utm_medium=api&utm_source=8413080e&v=52EC9D1116DF0E78946917AD7B14619BCD855F00,40000.0,40000.0,2026-07-31,2026-08-07
adzuna_5823507727,Data Analyst,Ofcom,gb,adzuna,https://www.adzuna.co.uk/jobs/land/ad/5823507727?se=PLl8cYeS8RGht6FEOOV3rg&utm_medium=api&utm_source=8413080e&v=6AF215D77FD42558595A4EC31104D7508F632DF4,26645.01,26645.01,2026-08-01,2026-08-07
adzuna_5808291874,Data Analyst,Express Solicitors,gb,adzuna,https://www.adzuna.co.uk/jobs/details/5808291874?utm_medium=api&utm_source=8413080e,40000.0,45000.0,2026-07-20,2026-08-07
adzuna_5832203991,Data Analyst,Arts & Humanities Research Council ,gb,adzuna,https://www.adzuna.co.uk/jobs/land/ad/5832203991?se=PLl8cYeS8RGht6FEOOV3rg&utm_medium=api&utm_source=8413080e&v=13AC412F216BADBAC4F96E220D59AA93334F5929,35000.0,35000.0,2026-08-07,2026-08-07
adzuna_5822589021,Data Analyst,Harnham - Data & Analytics Recruitment,gb,adzuna,https://www.adzuna.co.uk/jobs/details/5822589021?utm_medium=api&utm_source=8413080e,50000.0,54000.0,2026-07-31,2026-08-07
adzuna_5817419816,Data Analyst,G-Research,gb,adzuna,https://www.adzuna.co.uk/jobs/land/ad/5817419816?se=PLl8cYeS8RGht6FEOOV3rg&utm_medium=api&utm_source=8413080e&v=CA98D1414D5AFFB28C9DB0FCFDF01FE560D771A5,51993.86,51993.86,2026-07-27,2026-08-07
adzuna_5818756002,Master Data Analyst,MCS Group,gb,adzuna,https://www.adzuna.co.uk/jobs/land/ad/5818756002?se=PLl8cYeS8RGht6FEOOV3rg&utm_medium=api&utm_source=8413080e&v=8A30B46773F4DAC9F32478E128D77173FE116F28,40000.0,40000.0,2026-07-28,2026-08-07
adzuna_5818755973,Data Analyst - Manufacturing,VANRATH,gb,adzuna,https://www.adzuna.co.uk/jobs/land/ad/5818755973?se=PLl8cYeS8RGht6FEOOV3rg&utm_medium=api&utm_source=8413080e&v=10D72293EFB461C42B7B89CA9BA1E50C6B6E6D3F,30000.0,30000.0,2026-07-28,2026-08-07
adzuna_5821891822,Finance Data Analyst,Northern Ireland Housing Executive,gb,adzuna,https://www.adzuna.co.uk/jobs/land/ad/5821891822?se=PLl8cYeS8RGht6FEOOV3rg&utm_medium=api&utm_source=8413080e&v=D640F33FCAB74EFA950ACAC759C090F72B8BDEEF,30000.0,30000.0,2026-07-31,2026-08-07
adzuna_5829374055,Data Analyst,red recruitment,gb,adzuna,https://www.adzuna.co.uk/jobs/land/ad/5829374055?se=PLl8cYeS8RGht6FEOOV3rg&utm_medium=api&utm_source=8413080e&v=091DACFE77A25B600D5B590DC18224A520C82A26,31200.0,31200.0,2026-08-05,2026-08-07
adzuna_5818783088,Data Analyst,Sphere Digital Recruitment,gb,adzuna,https://www.adzuna.co.uk/jobs/details/5818783088?utm_medium=api&utm_source=8413080e,50000.0,50000.0,2026-07-28,2026-08-07
adzuna_5828166797,Data Analyst,Opencast Software,gb,adzuna,https://www.adzuna.co.uk/jobs/land/ad/5828166797?se=PLl8cYeS8RGht6FEOOV3rg&utm_medium=api&utm_source=8413080e&v=0525724B14A45E25B10AEE781A0B6361853EF5BC,53910.09,53910.09,2026-08-04,2026-08-07
